date,total_profit_DA,total_profit_Hybrid,market_used,cumulative_baseline,cumulative_strategy,total_profit
2025-07-14,378.7,378.7,Day Ahead,102747.55000000002,104684.10000000003,378.7
2025-07-15,310.1,310.1,Day Ahead,103057.65000000002,104994.20000000004,310.1
2025-07-16,405.54999999999995,405.54999999999995,Day Ahead,103463.20000000003,105399.75000000004,405.54999999999995
2025-07-17,320.1000000000001,320.1000000000001,Day Ahead,103783.30000000003,105719.85000000005,320.1000000000001
2025-07-18,414.04999999999995,414.04999999999995,Day Ahead,104197.35000000003,106133.90000000005,414.04999999999995
2025-07-19,300.1499999999999,300.1499999999999,Day Ahead,104497.50000000003,106434.05000000005,300.1499999999999
2025-07-20,221.10000000000002,221.10000000000002,Day Ahead,104718.60000000003,106655.15000000005,221.10000000000002
2025-07-21,167.60000000000005,524.6,Balancing,104886.20000000004,107179.75000000006,524.6
2025-07-22,371.44999999999993,371.44999999999993,Day Ahead,105257.65000000004,107551.20000000006,371.44999999999993
2025-07-23,381.19999999999993,381.19999999999993,Day Ahead,105638.85000000003,107932.40000000005,381.19999999999993
2025-07-24,387.54999999999995,387.54999999999995,Day Ahead,106026.40000000004,108319.95000000006,387.54999999999995
2025-07-25,422.15000000000003,422.15000000000003,Day Ahead,106448.55000000003,108742.10000000005,422.15000000000003
2025-07-26,169.59999999999994,169.59999999999994,Day Ahead,106618.15000000004,108911.70000000006,169.59999999999994
2025-07-27,113.80000000000004,113.80000000000004,Day Ahead,106731.95000000004,109025.50000000006,113.80000000000004
2025-07-28,402.65,402.65,Day Ahead,107134.60000000003,109428.15000000005,402.65
2025-07-29,289.4,289.4,Day Ahead,107424.00000000003,109717.55000000005,289.4
2025-07-30,333.30000000000007,333.30000000000007,Day Ahead,107757.30000000003,110050.85000000005,333.30000000000007
2025-07-31,309.29999999999995,309.29999999999995,Day Ahead,108066.60000000003,110360.15000000005,309.29999999999995
2025-08-01,391.1,391.1,Day Ahead,108457.70000000004,110751.25000000006,391.1
2025-08-02,142.19999999999993,142.19999999999993,Day Ahead,108599.90000000004,110893.45000000006,142.19999999999993
2025-08-03,94.69999999999992,94.69999999999992,Day Ahead,108694.60000000003,110988.15000000005,94.69999999999992
2025-08-04,174.2,174.2,Day Ahead,108868.80000000003,111162.35000000005,174.2
2025-08-05,673.95,673.95,Day Ahead,109542.75000000003,111836.30000000005,673.95
2025-08-06,94.39999999999998,94.39999999999998,Day Ahead,109637.15000000002,111930.70000000004,94.39999999999998
2025-08-07,695.0999999999999,695.0999999999999,Day Ahead,110332.25000000003,112625.80000000005,695.0999999999999
2025-08-08,562.4,562.4,Day Ahead,110894.65000000002,113188.20000000004,562.4
2025-08-09,561.4499999999999,561.4499999999999,Day Ahead,111456.10000000002,113749.65000000004,561.4499999999999
2025-08-10,167.8,167.8,Day Ahead,111623.90000000002,113917.45000000004,167.8
2025-08-11,461.4,461.4,Day Ahead,112085.30000000002,114378.85000000003,461.4
2025-08-12,546.45,546.45,Day Ahead,112631.75000000001,114925.30000000003,546.45
2025-08-13,449.99999999999994,449.99999999999994,Day Ahead,113081.75000000001,115375.30000000003,449.99999999999994
2025-08-14,281.65,281.65,Day Ahead,113363.40000000001,115656.95000000003,281.65
2025-08-15,344.70000000000005,344.70000000000005,Day Ahead,113708.1,116001.65000000002,344.70000000000005
2025-08-16,273.29999999999995,273.29999999999995,Day Ahead,113981.40000000001,116274.95000000003,273.29999999999995
